id;es_text;mood;tense;verb;pronoun;fr_text;audio_url;conj_fr;conj_es;valid
969674;Come más, o no cogerás fuerzas.;Impératif;Affirmatif;comer;tú;Mange davantage, ou tu ne te renforceras pas.;https://audio.tatoeba.org/sentences/spa/969674.mp3;mange !;come;1
995036;Come lo que quieras.;Impératif;Affirmatif;comer;tú;Mange ce qui te plaît.;https://audio.tatoeba.org/sentences/spa/995036.mp3;mange !;come;1
1138029;Come todo lo que se te antoje.;Impératif;Affirmatif;comer;tú;Mange tout ce que tu veux.;https://audio.tatoeba.org/sentences/spa/1138029.mp3;mange !;come;1
1198072;Come lo que gustes.;Impératif;Affirmatif;comer;tú;Mange ce qui te plaît.;https://audio.tatoeba.org/sentences/spa/1198072.mp3;mange !;come;1
1234992;Come más verduras frescas.;Impératif;Affirmatif;comer;tú;Mangez plus de légumes frais.;https://audio.tatoeba.org/sentences/spa/1234992.mp3;mange !;come;1
1235042;Come todo.;Impératif;Affirmatif;comer;tú;Mange tout.;https://audio.tatoeba.org/sentences/spa/1235042.mp3;mange !;come;1
1296668;Ahora, come tu cena.;Impératif;Affirmatif;comer;tú;Maintenant mange ton repas.;https://audio.tatoeba.org/sentences/spa/1296668.mp3;mange !;come;1
1332457;Come tanto como quieras.;Impératif;Affirmatif;comer;tú;Mangez autant que vous voulez.;https://audio.tatoeba.org/sentences/spa/1332457.mp3;mange !;come;1
1351418;Come un poco de esta torta.;Impératif;Affirmatif;comer;tú;Prend un peu de ce gâteau.;https://audio.tatoeba.org/sentences/spa/1351418.mp3;mange !;come;1
1497025;Come despacio.;Impératif;Affirmatif;comer;tú;Mange tes repas lentement.;https://audio.tatoeba.org/sentences/spa/1497025.mp3;mange !;come;1
1593898;Come un poco de jamón.;Impératif;Affirmatif;comer;tú;Prends du jambon.;https://audio.tatoeba.org/sentences/spa/1593898.mp3;mange !;come;1
1702301;Come despacio la comida.;Impératif;Affirmatif;comer;tú;Mange tes repas lentement.;https://audio.tatoeba.org/sentences/spa/1702301.mp3;mange !;come;1
1747904;Come fideos.;Impératif;Affirmatif;comer;tú;Mangez des nouilles.;https://audio.tatoeba.org/sentences/spa/1747904.mp3;mange !;come;1
2052413;Come algo.;Impératif;Affirmatif;comer;tú;Prends quelque chose à manger.;https://audio.tatoeba.org/sentences/spa/2052413.mp3;mange !;come;1
2104001;Por favor, come algo.;Impératif;Affirmatif;comer;tú;Mangez quelque chose, je vous en prie.;https://audio.tatoeba.org/sentences/spa/2104001.mp3;mange !;come;1
3177185;Milli come una manzana.;Impératif;Affirmatif;comer;tú;Millie mange une pomme.;https://audio.tatoeba.org/sentences/spa/3177185.mp3;mange !;come;1
4996122;Come más despacio.;Impératif;Affirmatif;comer;tú;Mange plus lentement !;https://audio.tatoeba.org/sentences/spa/4996122.mp3;mange !;come;1
5019727;¿Come todos los días arroz?;Impératif;Affirmatif;comer;tú;Mangez-vous du riz tous les jours ?;https://audio.tatoeba.org/sentences/spa/5019727.mp3;mange !;come;1
5947477;Come cuanto quieras.;Impératif;Affirmatif;comer;tú;Mangez autant que vous voulez.;https://audio.tatoeba.org/sentences/spa/5947477.mp3;mange !;come;1
5950067;Come donde quieras.;Impératif;Affirmatif;comer;tú;Mange où tu veux !;https://audio.tatoeba.org/sentences/spa/5950067.mp3;mange !;come;1
6681466;Come sano.;Impératif;Affirmatif;comer;tú;Mangez sainement !;https://audio.tatoeba.org/sentences/spa/6681466.mp3;mange !;come;1
10009249;Come un poco de pastel.;Impératif;Affirmatif;comer;tú;Essaye ce gâteau.;https://audio.tatoeba.org/sentences/spa/10009249.mp3;mange !;come;1
760132;Comed, porque estáis hambrientos.;Impératif;Affirmatif;comer;vosotros;Mangez, car vous avez faim.;https://audio.tatoeba.org/sentences/spa/760132.mp3;mangez !;comed;1
